epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.166,1.26664,1.3208,1.5954,0.72262,0.38015,0.44527,0.21806,1.10553,0.91388,1.42618,0.00333231,0.00333231,0.00333231
2,1064.83,1.18468,1.08998,1.46913,0.7278,0.39155,0.44307,0.21109,1.12888,0.97138,1.43964,0.00653366,0.00653366,0.00653366
3,1573.39,1.23285,1.18459,1.51417,0.70349,0.36779,0.41941,0.20055,1.16318,1.06511,1.49361,0.00960302,0.00960302,0.00960302
4,2080.99,1.24224,1.2057,1.53324,0.70956,0.36764,0.4207,0.20572,1.13048,1.02879,1.48379,0.009406,0.009406,0.009406
5,2588.35,1.20544,1.1296,1.50786,0.72854,0.39393,0.44837,0.22391,1.09335,0.9289,1.45568,0.009208,0.009208,0.009208
6,3096.83,1.18258,1.09139,1.49396,0.73709,0.40498,0.46234,0.23253,1.07957,0.92393,1.44362,0.00901,0.00901,0.00901
7,3603.64,1.15858,1.05287,1.4744,0.7485,0.41442,0.47329,0.24082,1.05353,0.87336,1.43344,0.008812,0.008812,0.008812
8,4110.23,1.13821,1.01505,1.46214,0.76693,0.41165,0.47652,0.24356,1.04373,0.86547,1.4228,0.008614,0.008614,0.008614
9,4616.48,1.12385,0.99011,1.45329,0.7627,0.42756,0.49127,0.25017,1.03817,0.84707,1.41496,0.008416,0.008416,0.008416
10,5122.87,1.09824,0.95436,1.43765,0.77802,0.43316,0.50146,0.25834,1.02007,0.82043,1.40066,0.008218,0.008218,0.008218
11,5629.38,1.08662,0.93707,1.42931,0.7678,0.43983,0.50518,0.2597,1.01716,0.79805,1.40301,0.00802,0.00802,0.00802
12,6135.53,1.08522,0.92396,1.42452,0.7778,0.44512,0.51218,0.26592,1.00529,0.78745,1.39436,0.007822,0.007822,0.007822
13,6642.31,1.078,0.91206,1.41205,0.77883,0.45246,0.52064,0.26934,1.00065,0.78058,1.38838,0.007624,0.007624,0.007624
14,7149.3,1.06892,0.89588,1.4071,0.78265,0.45128,0.51726,0.26955,0.99437,0.77136,1.38247,0.007426,0.007426,0.007426
15,7656.1,1.06036,0.88828,1.41336,0.7868,0.45248,0.52236,0.27045,0.98228,0.76199,1.37361,0.007228,0.007228,0.007228
16,8163.29,1.05498,0.88115,1.399,0.78668,0.46263,0.52975,0.27756,0.98097,0.74676,1.37247,0.00703,0.00703,0.00703
17,8670.17,1.05059,0.87141,1.40036,0.79518,0.45742,0.52988,0.27869,0.97542,0.73749,1.36903,0.006832,0.006832,0.006832
18,9176.16,1.04631,0.85903,1.4001,0.78754,0.46641,0.53609,0.28047,0.97454,0.73336,1.37455,0.006634,0.006634,0.006634
19,9682.96,1.03028,0.84707,1.38896,0.79284,0.47009,0.53827,0.28486,0.96762,0.72563,1.36514,0.006436,0.006436,0.006436
20,10188.9,1.03008,0.84182,1.386,0.80079,0.46735,0.54029,0.28463,0.96732,0.72032,1.35897,0.006238,0.006238,0.006238
21,10694.9,1.03354,0.8413,1.38015,0.80032,0.47124,0.54292,0.28723,0.96498,0.71142,1.36381,0.00604,0.00604,0.00604
22,11200.7,1.0277,0.83196,1.37662,0.80296,0.47178,0.54638,0.29006,0.95956,0.70501,1.3579,0.005842,0.005842,0.005842
23,11706.9,1.01621,0.81877,1.37248,0.80523,0.47639,0.54905,0.29168,0.95407,0.70232,1.35488,0.005644,0.005644,0.005644
24,12213.7,1.01884,0.81918,1.37254,0.80233,0.48336,0.55516,0.29438,0.94959,0.69452,1.35039,0.005446,0.005446,0.005446
25,12718.9,1.01096,0.8127,1.36992,0.8115,0.47991,0.5568,0.29593,0.94696,0.68699,1.34397,0.005248,0.005248,0.005248
26,13224.3,1.00411,0.80337,1.36313,0.81029,0.48232,0.5577,0.29717,0.94404,0.67977,1.3473,0.00505,0.00505,0.00505
